2022-08-21 00:23:10.445 [RMI TCP Connection(8)-192.168.0.102] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Start completed.
2022-08-21 00:24:48.352 [main] INFO  com.localserver.LocalServerApplication - Starting LocalServerApplication using Java 13.0.1 on LAPTOP-M74D00VF with PID 19064 (C:\Users\86182\Desktop\coding\projects\java\SpringBoot-grpc\local-server\target\classes started by 86182 in C:\Users\86182\Desktop\coding\projects\java\SpringBoot-grpc)
2022-08-21 00:24:48.355 [main] INFO  com.localserver.LocalServerApplication - The following profiles are active: dev
2022-08-21 00:24:49.814 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-08-21 00:24:49.816 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-08-21 00:24:49.857 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 28 ms. Found 0 Redis repository interfaces.
2022-08-21 00:24:50.443 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
2022-08-21 00:24:50.453 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
2022-08-21 00:24:50.453 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-08-21 00:24:50.454 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
2022-08-21 00:24:50.614 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-08-21 00:24:50.614 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2215 ms
2022-08-21 00:24:50.725 [main] INFO  o.s.boot.web.servlet.RegistrationBean - Filter webStatFilter was not registered (possibly already registered?)
2022-08-21 00:24:50.728 [main] INFO  o.s.boot.web.servlet.RegistrationBean - Servlet statViewServlet was not registered (possibly already registered?)
2022-08-21 00:24:50.789 [main] INFO  ru.yandex.clickhouse.ClickHouseDriver - Driver registered
2022-08-21 00:24:51.459 [main] INFO  org.springframework.aop.framework.CglibAopProxy - Unable to proxy interface-implementing method [public final io.grpc.ServerServiceDefinition com.wr.grpc.lib.dataset.DataSetServiceGrpc$DataSetServiceImplBase.bindService()] because it is marked as final: Consider using interface-based JDK proxies instead!
2022-08-21 00:24:51.581 [main] INFO  org.redisson.Version - Redisson 3.10.4
2022-08-21 00:24:52.300 [redisson-netty-1-2] INFO  o.r.connection.pool.MasterPubSubConnectionPool - 1 connections initialized for 162.14.78.202/162.14.78.202:6379
2022-08-21 00:24:52.301 [redisson-netty-1-3] INFO  org.redisson.connection.pool.MasterConnectionPool - 32 connections initialized for 162.14.78.202/162.14.78.202:6379
2022-08-21 00:24:52.802 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2022-08-21 00:24:53.104 [main] INFO  n.d.b.g.s.a.GrpcServerFactoryAutoConfiguration - Detected grpc-netty-shaded: Creating ShadedNettyGrpcServerFactory
2022-08-21 00:24:53.542 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8082"]
2022-08-21 00:24:53.554 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path ''
2022-08-21 00:24:53.970 [main] INFO  n.d.b.g.s.serverfactory.AbstractGrpcServerFactory - Registered gRPC service: dataset.DataSetService, bean: dataSetService, class: com.localserver.grpc.DataSetService$$EnhancerBySpringCGLIB$$9d04be07
2022-08-21 00:24:53.971 [main] INFO  n.d.b.g.s.serverfactory.AbstractGrpcServerFactory - Registered gRPC service: db.DbService, bean: dbService, class: com.localserver.grpc.DbService
2022-08-21 00:24:53.972 [main] INFO  n.d.b.g.s.serverfactory.AbstractGrpcServerFactory - Registered gRPC service: search.SearchService, bean: searchService, class: com.localserver.grpc.SearchService
